,,,-12.4800010E-3,40.00000283E-3,,,,,-12.4800010E-3,-10.0000007E-3,
,,,-12.4000004E-3,40.00000283E-3,,,,,-12.4000004E-3,-10.0000007E-3,
,,,-12.3200007E-3,40.00000283E-3,,,,,-12.3200007E-3,-10.0000007E-3,
,,,-12.2400010E-3,40.00000283E-3,,,,,-12.2400010E-3,-10.0000007E-3,
,,,-12.1600004E-3,40.00000283E-3,,,,,-12.1600004E-3,-10.0000007E-3,
,,,-12.0800007E-3,40.00000283E-3,,,,,-12.0800007E-3,-10.0000007E-3,
,,,-12.0000010E-3,0.0,,,,,-12.0000010E-3,-10.0000007E-3,
,,,-11.9200004E-3,40.00000283E-3,,,,,-11.9200004E-3,-10.0000007E-3,
,,,-11.8400007E-3,40.00000283E-3,,,,,-11.8400007E-3,-10.0000007E-3,
,,,-11.7600011E-3,80.000005662E-3,,,,,-11.7600011E-3,-10.0000007E-3,
,,,-11.6800005E-3,40.00000283E-3,,,,,-11.6800005E-3,-10.0000007E-3,
,,,-11.6000008E-3,40.00000283E-3,,,,,-11.6000008E-3,-10.0000007E-3,
,,,-11.5200011E-3,80.000005662E-3,,,,,-11.5200011E-3,30.00000119E-3,
,,,-11.4400005E-3,40.00000283E-3,,,,,-11.4400005E-3,-10.0000007E-3,
,,,-11.3600008E-3,40.00000283E-3,,,,,-11.3600008E-3,-10.0000007E-3,
,,,-11.2800011E-3,40.00000283E-3,,,,,-11.2800011E-3,-10.0000007E-3,
,,,-11.2000005E-3,40.00000283E-3,,,,,-11.2000005E-3,-10.0000007E-3,
,,,-11.1200009E-3,40.00000283E-3,,,,,-11.1200009E-3,-10.0000007E-3,
,,,-11.0400012E-3,40.00000283E-3,,,,,-11.0400012E-3,-10.0000007E-3,
,,,-10.9600006E-3,40.00000283E-3,,,,,-10.9600006E-3,-10.0000007E-3,
,,,-10.8800009E-3,40.00000283E-3,,,,,-10.8800009E-3,-10.0000007E-3,
,,,-10.8000003E-3,40.00000283E-3,,,,,-10.8000003E-3,-10.0000007E-3,
,,,-10.7200006E-3,40.00000283E-3,,,,,-10.7200006E-3,-10.0000007E-3,
,,,-10.6400009E-3,40.00000283E-3,,,,,-10.6400009E-3,-10.0000007E-3,
,,,-10.5600003E-3,40.00000283E-3,,,,,-10.5600003E-3,-10.0000007E-3,
,,,-10.4800006E-3,80.000005662E-3,,,,,-10.4800006E-3,-10.0000007E-3,
,,,-10.4000010E-3,40.00000283E-3,,,,,-10.4000010E-3,30.00000119E-3,
,,,-10.3200004E-3,0.0,,,,,-10.3200004E-3,-10.0000007E-3,
,,,-10.2400007E-3,40.00000283E-3,,,,,-10.2400007E-3,-10.0000007E-3,
,,,-10.1600010E-3,80.000005662E-3,,,,,-10.1600010E-3,-10.0000007E-3,
,,,-10.0800004E-3,40.00000283E-3,,,,,-10.0800004E-3,-10.0000007E-3,
,,,-10.0000007E-3,40.00000283E-3,,,,,-10.0000007E-3,-10.0000007E-3,
,,,-9.920001030E-3,40.00000283E-3,,,,,-9.920001030E-3,-10.0000007E-3,
